Location,Latitude,Longitude,Bedrooms,Garage,Bathrooms,Price
 achimota,5.6242019,-0.2276807,3,,3,112500
 east legon ,5.6392848,-0.1624589,4,,4,4512177
East airport ,5.6271981,-0.1080795,4,,4,2100000
: east legon,5.6392848,-0.1624589,4,,4,2262189
Agbogba,5.6918579,-0.1984465,4,,4,1203248
 east legon shiashie,5.6284053,-0.1767713,4,,3,3386250
East legon hills,5.6927588,-0.1004742,4,,5,2262189
 east legon,5.6392848,-0.1624589,4,,4,2256090
North legon,5.6777411,-0.1822898,4,,4,2100000
 east legon ,5.6392848,-0.1624589,5,,5,13572552
 achimota mile 7,5.6369281,-0.2344389712201987,3,,3,1530000
 achimota,5.6242019,-0.2276807,3,,3,112500
: east legon,5.6392848,-0.1624589,4,,4,2262189
 east legon ,5.6392848,-0.1624589,4,,4,4512177
 achimota mile 7,5.6369281,-0.2344389712201987,3,,3,1530000
 achimota,5.6242019,-0.2276807,3,,3,112500
: east legon,5.6392848,-0.1624589,4,,4,2262189
 east legon ,5.6392848,-0.1624589,4,,4,4512177
East airport ,5.6271981,-0.1080795,4,,4,2100000
 east legon shiashie,5.6284053,-0.1767713,4,,3,3386250
East legon hills,5.6927588,-0.1004742,4,,5,2262189
Agbogba,5.6918579,-0.1984465,4,,4,1203248
 east legon ,5.6392848,-0.1624589,5,,5,13572552
Spintex,5.6288265,-0.0901987,2,3,3,470000
Tema community 25,5.6789327,-0.0231499,4,1,4,1957228
Tema community 22,5.7069368,-0.0165864,4,4,4,1200000
Adjiringanor ,5.6496506,-0.1366577,4,3,5,2625000
East legon,5.6392848,-0.1624589,4,,5,4800000
East legon hills,5.6927588,-0.1004742,4,,5,2637000
East legon hills,5.6927588,-0.1004742,4,,5,1611976
Adjiringanor,5.6496506,-0.1366577,10,5,10,1853200
Teshie,5.5822343,-0.1135104,3,,1,980920
East legon hills,5.6927588,-0.1004742,4,3,5,910000
Community 22,5.7125358,-0.0293623,3,,3,873750
East legon,5.6392848,-0.1624589,4,,4,2300000
East legon hills,5.6927588,-0.1004742,3,,,1166250
Ogbojo,5.6691197,-0.1478252,5,6,6,6750000
Achimota,5.6242019,-0.2276807,4,5,3,1755000
Tantra hills ,5.6460553,-0.2472712,4,4,5,1825000
Tema ,5.6596441,-0.0096592,6,,6,1580000
East legon hills,5.6927588,-0.1004742,4,4,5,1204448
Abokobi,5.7381697,-0.1948689,3,3,4,677502
West legon,5.64659785,-0.18799765768516785,4,6,6,3387510
Oyarifa -teiman rd,5.7447006,-0.1774594,3,3,4,340000
Tse addo,5.571400049999999,-0.13534024999999966,7,8,8,3763900
Ashongman,5.697026,-0.2338194,3,5,2,460000
East legon hills,5.6927588,-0.1004742,3,,3,890000
New legon,5.7151912,-0.1290786,3,6,4,540000
East legon (school junction),5.6897516,-0.1959912,3,4,4,1242087
Tema,5.6596441,-0.0096592,9,2,6,4500000
East legon hills ,5.6927588,-0.1004742,3,1,4,950000
Airport residential area,5.6132499,-0.1832656,,,,18819500
Tema,5.6596441,-0.0096592,3,4,3,1499000
Dzorwulu,5.6130923,-0.1991566,4,2,3,9033360
Adjiringanor,5.6496506,-0.1366577,2,2,3,3011120
Dzorwulu ,5.6130923,-0.1991566,7,1,6,3763900
Pokuase,5.6892131,-0.2826359,3,6,4,820000
Tema,5.6596441,-0.0096592,4,,4,1750000
Adjiringanor,5.6496506,-0.1366577,5,,5,2900000
Achimota,5.6242019,-0.2276807,4,2,4,1450000
Tema community 25,5.6789327,-0.0231499,3,2,4,1150840
Abelemkpe,5.6084809,-0.2135803,4,4,5,1896000
East legon hills,5.6927588,-0.1004742,4,4,5,1362000
Tema community 11,5.6643398,-0.0306355,3,4,4,2295000
East airport,5.6271981,-0.1080795,4,4,5,3010000
East legon,5.6392848,-0.1624589,5,3,6,3531181
Accra dzorwulu,5.6130923,-0.1991566,8,12,8,9164000
Adjiringanor,5.6496506,-0.1366577,5,5,8,3775064
East airport,5.6271981,-0.1080795,5,4,6,6020000
Tema community 25,5.6789327,-0.0231499,3,3,3,720000
East airport,5.6271981,-0.1080795,4,4,5,2280000
Tse addo,5.571400049999999,-0.13534024999999966,4,4,5,3314000
Tema community 25,5.6789327,-0.0231499,2,2,2,350000
Tema community 25,5.6789327,-0.0231499,3,2,4,1150840
Abelemkpe,5.6084809,-0.2135803,4,4,5,1896000
Spintex,5.6288265,-0.0901987,3,4,3,1356388
Cantonments,5.5841563,-0.1692489,5,5,6,7182000
East legon,5.6392848,-0.1624589,4,3,3,2340800
East airport,5.6271981,-0.1080795,4,4,4,2470000
Tema community 25 ,5.6789327,-0.0231499,4,15,4,650000
Tema community 25,5.6789327,-0.0231499,4,4,5,250000
East airport,5.6271981,-0.1080795,4,4,5,3010000
Tema community 11,5.6643398,-0.0306355,3,4,4,2295000
Kuntunse,5.7550138,-0.3079056757510843,5,6,4,2183062
Aburi,5.8474757,-0.1752664,5,10,5,17000000
East legon hills,5.6927588,-0.1004742,4,130,4,1638000
East legon trasacco ,5.6471725,-0.1134111,5,3,6,6720000
Trasacco valley ,5.6576467,-0.112441,8,5,9,7200000
East legon ,5.6392848,-0.1624589,5,2,6,4800000
Trasacco valley ,5.6576467,-0.112441,5,2,6,12797260
Trasacco valley ,5.6576467,-0.112441,5,2,6,9033360
East legon,5.6392848,-0.1624589,4,20,5,11291700
East legon ,5.6392848,-0.1624589,6,8,7,9033360
East legon,5.6392848,-0.1624589,4,1,4,1279726
East legon,5.6392848,-0.1624589,4,,5,1994867
East legon ,5.6392848,-0.1624589,4,1,5,1881950
East legon ,5.6392848,-0.1624589,4,1,5,1881950
East legon ,5.6392848,-0.1624589,8,12,10,3914456
East legon ,5.6392848,-0.1624589,4,1,5,3420000
East legon,5.6392848,-0.1624589,20,30,30,18819500
East legon,5.6392848,-0.1624589,4,,5,2710008
East legon,5.6392848,-0.1624589,3,10,4,400000
East legon ,5.6392848,-0.1624589,5,10,6,4893070
East airport,5.6271981,-0.1080795,4,,4,3011120
East legon hills,5.6927588,-0.1004742,3,10,3,903336
Dome kwabenya ,5.6888595,-0.2473598,3,,4,650000
Community 25,5.7366446,0.0365789,3,7,3,1016253
East legon ,5.6392848,-0.1624589,4,10,5,2204000
East airport,5.6271981,-0.1080795,4,,4,2860564
East legon hills ,5.6927588,-0.1004742,4,,5,2040000
East legon ,5.6392848,-0.1624589,4,,5,4400000
Spintex ,5.6288265,-0.0901987,3,,4,1120000
East legon ,5.6392848,-0.1624589,4,1,5,2610000
West legon,5.64659785,-0.18799765768516785,3,,4,3387510
East legon ,5.6392848,-0.1624589,4,,5,2672369
East legon,5.6392848,-0.1624589,4,2,5,4095000
East legon ,5.6392848,-0.1624589,5,2,6,4060000
East legon,5.6392848,-0.1624589,4,10,5,1129170
East legon ,5.6392848,-0.1624589,4,2,5,2520000
Ritz junction,5.6876395,-0.1713683,3,,4,896000
East legon ,5.6392848,-0.1624589,4,,5,3200000
Airport residential ,5.60428935,-0.167967625794569,4,,5,5120000
East legon,5.6392848,-0.1624589,5,2,6,4800000
East legon ,5.6392848,-0.1624589,5,2,6,4800000
East legon,5.6392848,-0.1624589,5,1,6,8280580
East legon,5.6392848,-0.1624589,4,1,5,3763900
Regimanuel estate,5.6503471,-0.0666762,4,2,5,5269460
East legon,5.6392848,-0.1624589,4,10,5,1129170
East legon,5.6392848,-0.1624589,5,1,6,8280580
East legon,5.6392848,-0.1624589,4,1,5,3763900
Regimanuel estate,5.6503471,-0.0666762,4,2,5,5269460
East legon hills ,5.6927588,-0.1004742,4,,5,2040000
East legon ,5.6392848,-0.1624589,4,,5,4400000
East legon trasacco ,5.6471725,-0.1134111,5,3,6,6720000
East legon,5.6392848,-0.1624589,4,10,5,2258340
Tema,5.6596441,-0.0096592,4,,5,2032506
East legon trasacco ,5.6471725,-0.1134111,5,3,6,6720000
Trasacco valley ,5.6576467,-0.112441,8,5,9,7200000
East legon,5.6392848,-0.1624589,4,,5,2634730
East airport,5.6271981,-0.1080795,5,,5,4366124
East legon hills ,5.6927588,-0.1004742,4,1,5,2160000
Haatso-atomic road,5.6674571,-0.2006292,4,20,5,3763900
East legon,5.6392848,-0.1624589,4,1,5,4516680
East legon,5.6392848,-0.1624589,4,,5,800000
East airport,5.6271981,-0.1080795,5,,5,4366124
Adenta,5.7041391,-0.1687965,5,10,6,3011120
Trasacco valley ,5.6576467,-0.112441,4,1,5,3236954
East legon,5.6392848,-0.1624589,5,10,6,1505560
East legon,5.6392848,-0.1624589,4,10,5,4140290
East legon hills,5.6927588,-0.1004742,4,10,5,978614
East legon,5.6392848,-0.1624589,4,10,5,3763900
East legon,5.6392848,-0.1624589,5,2,6,9860000
East legon ,5.6392848,-0.1624589,4,1,5,2408896
East legon,5.6392848,-0.1624589,5,10,6,4516680
Airport residential area,5.6132499,-0.1832656,5,1582,5,15055600
Achimota,5.6242019,-0.2276807,4,1,4,3011120
Achimota,5.6242019,-0.2276807,4,2,4,2200000
Achimota,5.6242019,-0.2276807,3,2,3,1180000
East legon hills,5.6927588,-0.1004742,3,4,4,1750000
Adjiringanor,5.6496506,-0.1366577,5,,6,4503664
Roman ridge,5.6052845,-0.1973074,4,,4,7200000
Achimota,5.6242019,-0.2276807,4,,5,1875000
Achimota,5.6242019,-0.2276807,4,,3,2100000
Kasoa,5.532573,-0.437491,2,,3,310000
Adjiringanor,5.6496506,-0.1366577,4,,5,3000000
Kasoa,5.532573,-0.437491,5,,3,530000
Amrahia ,5.7666444,-0.1424324,3,,4,600000
East legon hills,5.6927588,-0.1004742,4,10,5,1800000
Krispol city,5.540077,-0.4560533,3,,4,490000
East legon,5.6392848,-0.1624589,3,,3,3282128
East legon,5.6392848,-0.1624589,4,1,5,1850000
Adjiringanor,5.6496506,-0.1366577,3,,3,1204448
East legon ,5.6392848,-0.1624589,5,1,6,4425000
East legon,5.6392848,-0.1624589,4,,5,2610000
East legon,5.6392848,-0.1624589,4,1,5,3387510
East legon ,5.6392848,-0.1624589,6,4,7,8260000
Tema. community 25,5.6789327,-0.0231499,4,1,5,1957228
East legon,5.6392848,-0.1624589,4,1,5,1850000
East legon,5.6392848,-0.1624589,4,,4,1279726
Adjiringanor,5.6496506,-0.1366577,3,,3,1204448
East legon ,5.6392848,-0.1624589,5,1,6,4425000
East legon,5.6392848,-0.1624589,4,,5,2610000
East legon,5.6392848,-0.1624589,4,1,5,3387510
East legon,5.6392848,-0.1624589,3,,4,2333618
East legon ,5.6392848,-0.1624589,4,,4,2080000
Oyarifa ,5.756972,-0.1748633,5,4,6,1570000
East legon ,5.6392848,-0.1624589,4,,5,1792000
Spintex,5.6288265,-0.0901987,4,,4,1821091
East legon ,5.6392848,-0.1624589,7,,8,4580000
East legon ,5.6392848,-0.1624589,4,2,5,5760000
Tema,5.6596441,-0.0096592,4,,4,2000000
East legon ,5.6392848,-0.1624589,4,,6,2860564
East legon ,5.6392848,-0.1624589,4,,5,2680000
East legon,5.6392848,-0.1624589,3,,4,2333618
East legon,5.6392848,-0.1624589,5,1,5,6341500
East legon ,5.6392848,-0.1624589,4,,5,2688000
East legon ,5.6392848,-0.1624589,4,10,5,7527800
Tema,5.6596441,-0.0096592,4,,4,2000000
East legon ,5.6392848,-0.1624589,4,,5,1792000
Spintex,5.6288265,-0.0901987,4,,4,1821091
East legon ,5.6392848,-0.1624589,7,,8,4580000
East legon ,5.6392848,-0.1624589,4,2,5,5760000
East legon ,5.6392848,-0.1624589,4,,5,2680000
East legon ,5.6392848,-0.1624589,4,,5,2688000
East legon,5.6392848,-0.1624589,5,1,5,6341500
Oyarifa,5.756972,-0.1748633,4,5,5,1942570
East legon,5.6392848,-0.1624589,5,,5,2582735
Cantonments,5.5841563,-0.1692489,3,,3,4289608
Dzorwulu,5.6130923,-0.1991566,4,,3,4674735
Abelemkpe,5.6084809,-0.2135803,4,,4,4399751
East legon,5.6392848,-0.1624589,4,1,4,3763900
Teshie,5.5822343,-0.1135104,5,,5,3568199
Dzorwulu,5.6130923,-0.1991566,4,,4,4674735
Abelemkpe,5.6084809,-0.2135803,3,,3,3299813
Spintex ,5.6288265,-0.0901987,3,,4,1200000
East legon,5.6392848,-0.1624589,3,,3,1914575
Abokobi,5.7381697,-0.1948689,4,,5,670000
Spintex,5.6288265,-0.0901987,4,,4,1434756
Spintex,5.6288265,-0.0901987,5,,5,2643198
East legon school junction ,5.6897516,-0.1959912,3,,3,1280000
East legon hills,5.6927588,-0.1004742,4,,5,2080000
Abelemkpe,5.6084809,-0.2135803,5,,5,4949720
Airport residential area,5.6132499,-0.1832656,5,,5,8249533
Airport residential area,5.6132499,-0.1832656,5,,5,8249533
East legon,5.6392848,-0.1624589,4,,4,2948000
Adjiringanor,5.6496506,-0.1366577,4,,4,3925000
Spintex,5.6288265,-0.0901987,4,,4,143023443
Kokomlemle,5.5755147,-0.2088731,3,,3,3849782
Kokomlemle,5.5755147,-0.2088731,4,,4,659962
Tse addo,5.571400049999999,-0.13534024999999966,4,,4,2051875
East legon hills,5.6927588,-0.1004742,3,1,3,745750
North legon,5.6777411,-0.1822898,4,,,2340000
Airport residential area,5.6132499,-0.1832656,3,2,3,3937500
Adjiringanor,5.6496506,-0.1366577,4,5,5,2400000
Abelemkpe,5.6084809,-0.2135803,4,,4,4124766
Airport residential area,5.6132499,-0.1832656,5,,5,6599626
Adjiringanor,5.6496506,-0.1366577,4,5,5,2400000
New achimota ,5.6193772,-0.2403501,3,4,4,1500000
East legon,5.6392848,-0.1624589,7,,7,7020000
Achimota,5.6242019,-0.2276807,3,4,4,1500000
East legon hills,5.6927588,-0.1004742,3,,3,2961000
East legon hills,5.6927588,-0.1004742,4,3,4,2400000
Dzorwulu,5.6130923,-0.1991566,5,,5,4124766
Adjiringanor,5.6496506,-0.1366577,4,2,4,2625000
Adjiringanor,5.6496506,-0.1366577,4,,5,2962500
East legon,5.6392848,-0.1624589,5,5,5,3387510
East legon hills,5.6927588,-0.1004742,3,4,3,903336
Ashongman,5.697026,-0.2338194,4,10,5,1355004
East airport,5.6271981,-0.1080795,4,4,4,3387510
Dzorwulu,5.6130923,-0.1991566,5,,5,5499689
Adjiringanor 69,5.6496506,-0.1366577,4,,5,3750000
Dzorwulu,5.6130923,-0.1991566,4,,5,3000000
Adjiringanor,5.6496506,-0.1366577,5,2,6,5250000
Asylum down,5.5709323,-0.2025493,4,,4,3988707
Asylum down,5.5709323,-0.2025493,3,,3,3418892
Ayi mensah,5.7828565,-0.1816539,3,,4,770000
Spintex,5.6288265,-0.0901987,3,,3,2477998
East legon,5.6392848,-0.1624589,4,,5,5250000
Cantonments,5.5841563,-0.1692489,4,,5,6398630
Spintex,5.6288265,-0.0901987,2,,2,1369293
East legon,5.6392848,-0.1624589,3,,4,1987500
Airport residential area,5.6132499,-0.1832656,4,,4,5499689
Pokuase,5.6892131,-0.2826359,4,,4,303957
Spintex,5.6288265,-0.0901987,3,,3,1709860
East legon,5.6392848,-0.1624589,4,,4,3613344
Tse addo,5.571400049999999,-0.13534024999999966,5,4,5,5934987
Tema,5.6596441,-0.0096592,2,,2,414589
East legon,5.6392848,-0.1624589,4,,4,3282128
East legon hills,5.6927588,-0.1004742,2,,3,370000
Teshie,5.5822343,-0.1135104,3,,3,3019245
Tse addo,5.571400049999999,-0.13534024999999966,5,,5,2609694
Airport residential area accra ghana ,5.6132499,-0.1832656,5,,6,12044480
Westlands accra ghana ,5.6674852,-0.2047103,5,,5,3011
North legon accra ghana ,5.6777411,-0.1822898,6,,6,6022240
Cantonments,5.5841563,-0.1692489,4,,4,5719477
East airport accra ghana ,5.6271981,-0.1080795,4,,4,3011120
West legon,5.64659785,-0.18799765768516785,6,,5,1881950
Sakumono estates accra ghana ,5.6351847,-0.06511452053432265,4,,4,400000
West legon,5.64659785,-0.18799765768516785,5,109,5,2619000
Dome pillar 2 accra ghana ,5.6531692,-0.2167042,4,,5,2032506
Community 22,5.7125358,-0.0293623,4,1,3,1300000
West legon,5.64659785,-0.18799765768516785,6,,6,3387510
East legon hills,5.6927588,-0.1004742,6,,7,6562500
Pokuase,5.6892131,-0.2826359,4,,5,2775000
Tesano   $800,5.6025554,-0.2304739,5,,5,4640000
East airport $850,5.6271981,-0.1080795,4,,4,4845000
Teshie,5.5822343,-0.1135104,4,,4,2470291
East legon,5.6392848,-0.1624589,4,,4,3387510
Teshie,5.5822343,-0.1135104,3,,3,2470291
Teshie,5.5822343,-0.1135104,5,,5,3019245
Airport residential area,5.6132499,-0.1832656,4,,4,6599626
Abelemkpe,5.6084809,-0.2135803,5,,5,4399751
Ashongman,5.697026,-0.2338194,3,,4,910000
East legon hills,5.6927588,-0.1004742,6,1,6,2634730
Ashongman,5.697026,-0.2338194,3,,4,910000
East legon hills,5.6927588,-0.1004742,6,1,6,2634730
East legon hills,5.6927588,-0.1004742,3,,3,1580838
East legon hills,5.6927588,-0.1004742,3,,3,1580838
Spintex,5.6288265,-0.0901987,3,,4,1050000
Dansoman,5.5468112,-0.2656595,5,,6,1987500
Amasaman,5.703291,-0.2990647,3,,4,470000
Asylum down,5.5709323,-0.2025493,5,,5,4844558
South odorkor,5.5796764,-0.2648468,5,,6,2887500
Dansoman,5.5468112,-0.2656595,5,,6,1987500
Cantonments,5.5841563,-0.1692489,5,,5,6863372
Kokomlemle,5.5755147,-0.2088731,3,,3,3574797
East legon hills,5.6927588,-0.1004742,4,,5,2242500
East legon,5.6392848,-0.1624589,4,,4,3011120
Tema,5.6596441,-0.0096592,3,,4,1125000
Cantonments,5.5841563,-0.1692489,5,5,5,21077840
East legon hills,5.6927588,-0.1004742,3,,3,116220
Adjiringanor,5.6496506,-0.1366577,3,,3,1072500
Abokobi,5.7381697,-0.1948689,3,,4,335500
Adenta,5.7041391,-0.1687965,3,,3,900000
Abokobi,5.7381697,-0.1948689,3,,4,429300
Adenta,5.7041391,-0.1687965,3,,3,495000
Adjiringanor,5.6496506,-0.1366577,4,,4,2030000
Adenta,5.7041391,-0.1687965,4,,4,2280000
Adjiringanor,5.6496506,-0.1366577,3,,3,1430000
Adjiringanor,5.6496506,-0.1366577,5,,5,3850000
Adjiringanor,5.6496506,-0.1366577,6,,6,3190000
Adjiringanor,5.6496506,-0.1366577,7,,7,4125000
Adjiringanor,5.6496506,-0.1366577,8,,8,6600000
Adjiringanor,5.6496506,-0.1366577,3,,3,2100000
Adenta,5.7041391,-0.1687965,3,,3,900000
Teshie,5.5822343,-0.1135104,4,,4,1921337
Adjiringanor,5.6496506,-0.1366577,5,,5,3850000
Adjiringanor,5.6496506,-0.1366577,3,,3,1430000
Adenta,5.7041391,-0.1687965,4,,4,2280000
Adjiringanor,5.6496506,-0.1366577,3,,3,1072500
Adjiringanor,5.6496506,-0.1366577,4,,4,2030000
Adenta,5.7041391,-0.1687965,3,,3,495000
East legon,5.6392848,-0.1624589,5,,5,2324400
Nungua beach road,5.6152624,-0.0599661,8,2,7,15565500
Spintex road,5.6337386,-0.0978899,4,,3,1069050
Sakumono,5.6252982,-0.0570156,4,1,,3109400
Lashibi,5.6850117,-0.0383551,4,,4,2700000
East legon ,5.6392848,-0.1624589,4,1,5,6398630
Spintex road,5.6337386,-0.0978899,3,,3,840000
Adjiringanor,5.6496506,-0.1366577,4,,5,3011120
East legon ,5.6392848,-0.1624589,5,1,6,3190000
Lashibi,5.6850117,-0.0383551,4,,5,1492500
East legon,5.6392848,-0.1624589,4,,5,2835000
Cantonments,5.5841563,-0.1692489,3,,4,3763900
Dzorwulu,5.6130923,-0.1991566,3,,3,3849782
Cantonments,5.5841563,-0.1692489,3,,4,7237500
Adjiringanor,5.6496506,-0.1366577,3,1,3,2160000
Community 25,5.7366446,0.0365789,3,,3,819000
Community 25,5.7366446,0.0365789,3,,3,3150000
Sakumono,5.6252982,-0.0570156,3,,3,945000
East legon hills,5.6927588,-0.1004742,4,,4,945000
Dome,5.6554227,-0.232884,3,4,3,1881950
East legon,5.6392848,-0.1624589,3,4,5,4215568
Cantonments,5.5841563,-0.1692489,2,2,2,1355004
East airport,5.6271981,-0.1080795,4,6,5,2785286
Tesano,5.6025554,-0.2304739,3,1,3,1937000
East legon,5.6392848,-0.1624589,5,3,5,5102500
East legon,5.6392848,-0.1624589,5,,4,3430000
Sakumono,5.6252982,-0.0570156,3,,3,1020000
East airport,5.6271981,-0.1080795,5,,5,3575000
East legon hills,5.6927588,-0.1004742,3,2,4,660000
East legon,5.6392848,-0.1624589,5,,5,4200000
East legon,5.6392848,-0.1624589,4,,4,4950000
Tema community 2,5.6322883,-0.017441,8,,8,2970000
East legon,5.6392848,-0.1624589,4,,4,1925000
East legon hills,5.6927588,-0.1004742,4,,5,1430000
East legon hills,5.6927588,-0.1004742,3,,3,702000
East legon hills,5.6927588,-0.1004742,4,4,5,4320000
Spintex,5.6288265,-0.0901987,4,,4,1210000
East legon,5.6392848,-0.1624589,3,,3,1380000
East legon hills,5.6927588,-0.1004742,3,,3,236500
East legon hills,5.6927588,-0.1004742,3,,3,459000
East airport,5.6271981,-0.1080795,4,,4,2280000
East legon hills,5.6927588,-0.1004742,4,,5,1430000
West legon,5.64659785,-0.18799765768516785,4,,4,1512000
Lashibi,5.6850117,-0.0383551,4,,4,2146000
Dzorwulu,5.6130923,-0.1991566,4,,4,3300000
Tema community 2,5.6322883,-0.017441,8,,8,2970000
Lashibi,5.6850117,-0.0383551,4,,4,770000
Pokuase,5.6892131,-0.2826359,3,,3,783000
