Location,Latitude,Longitude,Bedrooms,Garage,Bathrooms,Price
Tse addo,5.571400049999999,-0.13534024999999966,2,,2,1133378
Ashaley botwe,5.6864517,-0.1369489,3,2,3,710000
East legon hills,5.6927588,-0.1004742,3,,4,1599476
East legon hills,5.6927588,-0.1004742,3,,4,1599476
Tse addo,5.571400049999999,-0.13534024999999966,2,,2,1133378
East legon hills,5.6927588,-0.1004742,3,4,4,840000
Regimanuel estate,5.6503471,-0.0666762,4,2,3,5850000
Dzorwulu,5.6130923,-0.1991566,5,,8,4290000
East legon,5.6392848,-0.1624589,4,,4,2100000
Adenta,5.7041391,-0.1687965,4,,4,1505560
East legon hills,5.6927588,-0.1004742,4,2,4,2220701
East legon hills,5.6927588,-0.1004742,4,,4,2000000
Adenta,5.7041391,-0.1687965,3,,3,1204448
Ashongman,5.697026,-0.2338194,3,4,3,1200000
Adenta,5.7041391,-0.1687965,3,,3,1129170
Aburi,5.8474757,-0.1752664,5,10,5,17000000
Airport residential area,5.6132499,-0.1832656,3,1,3,9420000
Nanakrom,5.6927463,-0.1148323,4,3,5,1948631
Teshie nungua residential area,5.61591355,-0.05924127620973925,5,6,5,2935842
East legon hills,5.6927588,-0.1004742,3,,4,1054000
East legon hills,5.6927588,-0.1004742,3,,4,996200
East legon hills,5.6927588,-0.1004742,4,,5,1968600
Lashibi,5.6850117,-0.0383551,3,1,3,1975333
Haatso,5.6706808,-0.2033502,4,2,5,2400000
Kwabenya,5.6738604,-0.2488115,6,,5,1096603
Tse addo,5.571400049999999,-0.13534024999999966,5,4,5,5934987
Accra,5.5571096,-0.2012376,4,1,6,2451643
Oyibi,5.8142534,-0.121343,2,,2,596448
Oyibi,5.8142534,-0.121343,3,,3,659232
Oyibi,5.8142534,-0.121343,3,,3,753408
Oyarifa rd,5.629674,-0.1665518,4,,4,2570000
Oyarifa ,5.756972,-0.1748633,8,8,10,500000
Tse addo,5.571400049999999,-0.13534024999999966,3,,3,1435612
Tse addo,5.571400049999999,-0.13534024999999966,3,,3,1851184
Amrahia,5.7666444,-0.1424324,10,10,10,1850000
Cantonments,5.5841563,-0.1692489,5,,5,7320568
East legon,5.6392848,-0.1624589,6,,6,8066259
Tse addo,5.571400049999999,-0.13534024999999966,4,1,4,2432000
East legon,5.6392848,-0.1624589,5,,5,6800000
Afienya,5.7980928,0.0051816,4,,3,500000
Oyarifa,5.756972,-0.1748633,3,4,4,550000
Oyarifa,5.756972,-0.1748633,4,,5,450000
Oyarifa kweiman,5.77986505,-0.1702320742741883,4,5,4,500000
East legon hills ,5.6927588,-0.1004742,3,,4,1161994
Tema ,5.6596441,-0.0096592,6,,6,1580000
East legon hills,5.6927588,-0.1004742,4,,5,1600000
East airport,5.6271981,-0.1080795,4,,5,4500000
East airport,5.6271981,-0.1080795,4,6,5,4100000
East legon hills,5.6927588,-0.1004742,3,,4,626152
East legon hills,5.6927588,-0.1004742,4,,5,1968600
East legon hills,5.6927588,-0.1004742,3,,4,1599476
East legon,5.6392848,-0.1624589,6,1,6,4893070
Oyarifa,5.756972,-0.1748633,4,,5,1570000
Achimota,5.6242019,-0.2276807,4,1,3,1200000
Tantra hills,5.6460553,-0.2472712,3,,2,1572156
Adenta,5.7041391,-0.1687965,4,4,5,1656116
Oyarifa rd,5.629674,-0.1665518,2,3,1,296000
Pokuase,5.6892131,-0.2826359,4,,4,950000
East legon hills,5.6927588,-0.1004742,4,3,5,910000
Oyarifa,5.756972,-0.1748633,4,4,5,1470000
Oyarifa,5.756972,-0.1748633,3,5,4,640000
Tse addo,5.571400049999999,-0.13534024999999966,6,8,7,2250000
East legon,5.6392848,-0.1624589,4,,5,4125000
Ayi mensah,5.7828565,-0.1816539,3,3,3,960000
Tema,5.6596441,-0.0096592,4,,5,4500000
West legon ,5.64659785,-0.18799765768516785,4,10,5,3375000
Spintex ,5.6288265,-0.0901987,4,,5,1875000
East legon hills,5.6927588,-0.1004742,3,,2,903336
Oyarifa,5.756972,-0.1748633,3,4,4,1974014
Dodowa,5.884244,-0.092089,7,5,5,250000
Adjiringanor,5.6496506,-0.1366577,3,3,4,3200000
Kokoben,5.4879044,-0.9671688,4,1,5,550000
Oyarifa,5.756972,-0.1748633,4,,4,1400000
East legon ,5.6392848,-0.1624589,4,,4,2050000
Agbogba,5.6918579,-0.1984465,3,,2,840000
Lartebiokorshie,5.5483316,-0.2445068,5,1,4,640000
Roman ridge airport residential area ,5.6019529,-0.1972241,5,4,6,5120000
Kasoa,5.532573,-0.437491,3,,3,330000
Kuntunse,5.7550138,-0.3079056757510843,4,3,3,650000
East legon police station,5.6316248,-0.1525559,4,5,5,3763900
East legon hills,5.6927588,-0.1004742,8,4,10,782000
Kwabenya,5.6738604,-0.2488115,5,5,4,5000000
East legon hills,5.6927588,-0.1004742,4,4,5,1100191
Achimota,5.6242019,-0.2276807,4,3,5,4875000
Adenta ,5.7041391,-0.1687965,4,5,5,1260000
East legon hills,5.6927588,-0.1004742,3,,4,1157000
Adenta,5.7041391,-0.1687965,4,,4,3011120
Spintex,5.6288265,-0.0901987,4,,5,2163000
East airport,5.6271981,-0.1080795,4,,5,2878819
Teshie,5.5822343,-0.1135104,5,,5,3568199
Tantra hills ,5.6460553,-0.2472712,4,4,5,1825000
Spintex,5.6288265,-0.0901987,3,,3,939200
Spintex,5.6288265,-0.0901987,5,,3,3195000
Spintex,5.6288265,-0.0901987,4,,5,2163000
East airport,5.6271981,-0.1080795,4,,5,2878819
Ashaley botwe,5.6864517,-0.1369489,4,7,5,1204448
Teshie,5.5822343,-0.1135104,5,,5,3568199
East legon,5.6392848,-0.1624589,5,,4,3687157
Ogbojo,5.6691197,-0.1478252,5,6,6,6750000
Dzorwulu,5.6130923,-0.1991566,4,,4,4674735
East legon,5.6392848,-0.1624589,5,,5,4144000
East airport,5.6271981,-0.1080795,5,,5,3887500
Spintex ,5.6288265,-0.0901987,3,,4,1200000
Spintex,5.6288265,-0.0901987,3,,4,975000
Teshie,5.5822343,-0.1135104,5,,5,3019245
East legon-ogbojo,5.6691197,-0.1478252,5,4,6,3160000
Tse addo,5.571400049999999,-0.13534024999999966,4,5,5,3550000
Abelemkpe,5.6084809,-0.2135803,4,,4,3032835
Spintex,5.6288265,-0.0901987,5,,5,2643198
Adjiringanor,5.6496506,-0.1366577,4,,4,2156250
East legon,5.6392848,-0.1624589,3,,3,1914575
Airport residential area,5.6132499,-0.1832656,4,,4,6612500
Adenta,5.7041391,-0.1687965,4,,4,1817000
East legon ars,5.6603606,-0.1513827,4,,5,1753990
Spintex 18,5.6288265,-0.0901987,3,,4,1200000
East legon hills,5.6927588,-0.1004742,3,1,4,1881202
Cantonments,5.5841563,-0.1692489,4,,5,9750000
Tema,5.6596441,-0.0096592,2,1,2,200000
Dodowa,5.884244,-0.092089,3,4,4,800000
Baatsona,5.61985615,-0.11961888301459811,3,3,2,798000
Spintex,5.6288265,-0.0901987,3,4,2,855000
North legon,5.6777411,-0.1822898,4,6,5,2107784
Achimota,5.6242019,-0.2276807,4,5,3,1755000
Tse addo,5.571400049999999,-0.13534024999999966,4,5,5,3550000
Tse addo,5.571400049999999,-0.13534024999999966,3,3,3,3510000
Adenta,5.7041391,-0.1687965,3,1,3,1177500
Adjiringanor,5.6496506,-0.1366577,5,,5,2900000
East legon hills ,5.6927588,-0.1004742,3,1,4,950000
Tema,5.6596441,-0.0096592,3,4,3,1499000
Airport residential area,5.6132499,-0.1832656,,,,18819500
Tema,5.6596441,-0.0096592,4,,4,1750000
Dzorwulu ,5.6130923,-0.1991566,7,1,6,3763900
